index,quality
0,6
1,6
2,6
3,5
4,6
5,6
6,5
7,6
8,6
9,7
10,6
11,6
12,6
13,6
14,6
15,5
16,6
17,6
18,5
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,5
30,7
31,6
32,5
33,5
34,5
35,6
36,5
37,5
38,6
39,6
40,6
41,6
42,6
43,5
44,6
45,6
46,5
47,6
48,4
49,6
50,5
51,5
52,6
53,4
54,5
55,6
56,6
57,5
58,5
59,6
60,5
61,6
62,6
63,4
64,6
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,6
74,6
75,5
76,6
77,6
78,6
79,7
80,6
81,6
82,5
83,5
84,6
85,5
86,5
87,5
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,7
96,6
97,6
98,6
99,6
100,5
101,5
102,5
103,5
104,5
105,6
106,6
107,6
108,5
109,6
110,6
111,6
112,6
113,5
114,5
115,6
116,6
117,7
118,6
119,6
120,6
121,5
122,6
123,6
124,5
125,5
126,6
127,6
128,6
129,7
130,5
131,5
132,4
133,5
134,5
135,6
136,6
137,7
138,5
139,5
140,5
141,6
142,5
143,5
144,5
145,5
146,7
147,6
148,6
149,6
150,5
151,7
152,6
153,5
154,6
155,5
156,6
157,6
158,6
159,5
160,5
161,6
162,6
163,6
164,6
165,5
166,5
167,6
168,5
169,6
170,5
171,5
172,6
173,5
174,6
175,5
176,6
177,5
178,6
179,6
180,6
181,5
182,7
183,7
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,5
192,5
193,6
194,6
195,6
196,7
197,5
198,5
199,5
200,6
201,6
202,6
203,5
204,5
205,6
206,6
207,6
208,6
209,6
210,7
211,5
212,5
213,6
214,6
215,6
216,6
217,6
218,6
219,7
220,6
221,6
222,6
223,6
224,7
225,5
226,6
227,5
228,6
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,7
245,6
246,6
247,6
248,5
249,6
250,5
251,6
252,6
253,7
254,6
255,6
256,6
257,7
258,7
259,6
260,7
261,5
262,5
263,7
264,5
265,5
266,6
267,5
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,7
277,7
278,5
279,6
280,6
281,6
282,7
283,6
284,7
285,6
286,6
287,6
288,5
289,6
290,5
291,5
292,5
293,6
294,5
295,7
296,8
297,5
298,5
299,7
300,6
301,6
302,5
303,5
304,6
305,7
306,5
307,7
308,5
309,5
310,6
311,5
312,6
313,5
314,6
315,6
316,5
317,5
318,5
319,6
320,5
321,5
322,6
323,5
324,5
325,6
326,5
327,6
328,6
329,5
330,6
331,7
332,6
333,5
334,5
335,6
336,5
337,6
338,6
339,5
340,6
341,6
342,6
343,6
344,5
345,6
346,5
347,6
348,5
349,6
350,5
351,6
352,5
353,6
354,6
355,5
356,6
357,6
358,6
359,6
360,5
361,6
362,6
363,7
364,7
365,6
366,5
367,5
368,7
369,6
370,6
371,5
372,5
373,5
374,6
375,5
376,6
377,6
378,6
379,6
380,6
381,6
382,7
383,6
384,5
385,6
386,6
387,5
388,6
389,5
390,7
391,5
392,7
393,5
394,5
395,6
396,5
397,7
398,7
399,5
400,7
401,6
402,6
403,6
404,7
405,5
406,6
407,6
408,6
409,6
410,6
411,5
412,6
413,5
414,6
415,6
416,6
417,6
418,5
419,5
420,7
421,6
422,5
423,6
424,5
425,6
426,6
427,5
428,5
429,6
430,7
431,6
432,5
433,6
434,7
435,5
436,6
437,6
438,5
439,5
440,5
441,7
442,6
443,5
444,6
445,6
446,5
447,5
448,5
449,6
450,6
451,5
452,5
453,6
454,6
455,5
456,7
457,6
458,6
459,5
460,5
461,7
462,5
463,6
464,5
465,5
466,6
467,6
468,6
469,5
470,5
471,5
472,5
473,5
474,5
475,6
476,6
477,6
478,7
479,6
480,6
481,7
482,6
483,5
484,8
485,5
486,5
487,6
488,5
489,5
490,7
491,6
492,5
493,7
494,5
495,6
496,6
497,5
498,6
499,6
500,6
501,6
502,6
503,7
504,6
505,5
506,6
507,6
508,6
509,6
510,5
511,5
512,6
513,5
514,6
515,5
516,5
517,7
518,6
519,5
520,5
521,5
522,5
523,7
524,6
525,5
526,6
527,6
528,6
529,6
530,5
531,5
532,6
533,6
534,6
535,6
536,6
537,6
538,5
539,5
540,6
541,5
542,6
543,6
544,6
545,6
546,6
547,5
548,6
549,6
550,6
551,6
552,6
553,6
554,5
555,6
556,5
557,5
558,5
559,6
560,5
561,6
562,6
563,6
564,6
565,6
566,6
567,7
568,6
569,5
570,6
571,5
572,5
573,6
574,6
575,5
576,6
577,6
578,5
579,5
580,6
581,6
582,6
583,5
584,6
585,7
586,7
587,7
588,5
589,7
590,7
591,6
592,7
593,6
594,5
595,6
596,5
597,6
598,6
599,6
600,6
601,6
602,6
603,6
604,5
605,6
606,5
607,5
608,7
609,6
610,7
611,5
612,6
613,6
614,6
615,6
616,5
617,7
618,7
619,6
620,6
621,5
622,6
623,6
624,5
625,6
626,5
627,6
628,5
629,6
630,5
631,5
632,6
633,5
634,5
635,7
636,5
637,6
638,6
639,5
640,5
641,6
642,6
643,5
644,6
645,6
646,5
647,5
648,6
649,5
650,6
651,5
652,7
653,7
654,6
655,5
656,6
657,6
658,6
659,5
660,7
661,6
662,6
663,6
664,6
665,6
666,6
667,5
668,6
669,5
670,6
671,5
672,6
673,7
674,5
675,5
676,6
677,5
678,7
679,6
680,7
681,6
