index,quality
0,2
1,2
2,3
3,2
4,3
5,3
6,3
7,3
8,3
9,4
10,3
11,2
12,4
13,3
14,3
15,2
16,3
17,3
18,3
19,3
20,3
21,3
22,2
23,3
24,3
25,2
26,2
27,2
28,2
29,2
30,4
31,3
32,2
33,3
34,2
35,3
36,2
37,2
38,3
39,3
40,3
41,2
42,3
43,3
44,3
45,4
46,2
47,2
48,2
49,3
50,2
51,2
52,3
53,1
54,2
55,3
56,3
57,2
58,2
59,3
60,2
61,3
62,3
63,1
64,3
65,3
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,3
74,3
75,2
76,3
77,3
78,3
79,4
80,3
81,3
82,2
83,1
84,3
85,2
86,2
87,2
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,4
96,3
97,3
98,3
99,4
100,3
101,3
102,3
103,2
104,2
105,3
106,3
107,3
108,3
109,2
110,4
111,3
112,3
113,2
114,2
115,3
116,3
117,4
118,4
119,2
120,3
121,2
122,3
123,3
124,3
125,2
126,3
127,3
128,3
129,4
130,3
131,2
132,3
133,2
134,2
135,3
136,3
137,4
138,2
139,2
140,2
141,3
142,2
143,2
144,2
145,2
146,4
147,3
148,5
149,3
150,2
151,5
152,3
153,2
154,3
155,3
156,2
157,2
158,3
159,2
160,2
161,3
162,3
163,3
164,3
165,2
166,2
167,3
168,2
169,2
170,2
171,2
172,3
173,2
174,3
175,2
176,3
177,2
178,3
179,3
180,3
181,3
182,4
183,4
184,2
185,3
186,3
187,3
188,2
189,3
190,3
191,4
192,3
193,3
194,3
195,3
196,4
197,2
198,2
199,2
200,3
201,2
202,3
203,2
204,2
205,2
206,3
207,3
208,3
209,3
210,4
211,2
212,2
213,3
214,2
215,3
216,3
217,3
218,3
219,3
220,3
221,2
222,3
223,3
224,4
225,3
226,3
227,2
228,3
229,2
230,3
231,4
232,4
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,4
245,3
246,3
247,3
248,2
249,4
250,2
251,3
252,4
253,4
254,3
255,3
256,3
257,4
258,3
259,3
260,4
261,3
262,2
263,3
264,2
265,2
266,3
267,2
268,3
269,3
270,3
271,2
272,3
273,2
274,3
275,2
276,4
277,4
278,2
279,3
280,3
281,3
282,3
283,3
284,2
285,3
286,3
287,3
288,2
289,3
290,2
291,2
292,2
293,3
294,2
295,4
296,5
297,2
298,2
299,5
300,3
301,3
302,2
303,2
304,3
305,3
306,2
307,4
308,2
309,2
310,3
311,2
312,3
313,2
314,3
315,3
316,2
317,2
318,3
319,3
320,2
321,2
322,3
323,2
324,1
325,3
326,2
327,4
328,3
329,3
330,2
331,4
332,4
333,2
334,2
335,4
336,2
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,2
345,3
346,2
347,3
348,2
349,3
350,2
351,3
352,2
353,3
354,3
355,2
356,3
357,3
358,2
359,3
360,2
361,2
362,3
363,4
364,4
365,3
366,2
367,2
368,3
369,3
370,3
371,3
372,2
373,2
374,3
375,2
376,3
377,3
378,3
379,3
380,4
381,3
382,4
383,3
384,2
385,3
386,3
387,2
388,3
389,3
390,3
391,2
392,4
393,3
394,2
395,3
396,3
397,4
398,4
399,2
400,4
401,3
402,3
403,3
404,3
405,2
406,1
407,3
408,3
409,3
410,3
411,2
412,3
413,2
414,3
415,3
416,3
417,3
418,2
419,3
420,4
421,3
422,2
423,3
424,3
425,3
426,3
427,3
428,2
429,3
430,3
431,3
432,3
433,3
434,3
435,1
436,3
437,2
438,2
439,3
440,2
441,4
442,3
443,2
444,3
445,3
446,2
447,2
448,2
449,3
450,3
451,4
452,2
453,3
454,3
455,2
456,4
457,2
458,3
459,2
460,2
461,3
462,2
463,3
464,2
465,2
466,3
467,3
468,3
469,2
470,2
471,2
472,3
473,3
474,2
475,3
476,3
477,5
478,4
479,3
480,3
481,4
482,2
483,2
484,5
485,2
486,2
487,3
488,2
489,3
490,4
491,3
492,2
493,4
494,1
495,3
496,3
497,2
498,3
499,3
500,2
501,3
502,3
503,4
504,3
505,2
506,3
507,3
508,3
509,3
510,3
511,2
512,2
513,3
514,2
515,2
516,3
517,3
518,3
519,2
520,2
521,3
522,2
523,4
524,3
525,2
526,4
527,3
528,3
529,3
530,2
531,2
532,3
533,2
534,4
535,3
536,3
537,3
538,1
539,2
540,3
541,2
542,4
543,3
544,3
545,3
546,3
