index,quality
0,5
1,6
2,5
3,5
4,6
5,6
6,6
7,7
8,6
9,6
10,6
11,6
12,7
13,6
14,5
15,5
16,6
17,6
18,5
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,6
28,6
29,6
30,7
31,6
32,5
33,5
34,5
35,6
36,6
37,5
38,6
39,5
40,5
41,5
42,6
43,6
44,6
45,6
46,6
47,6
48,4
49,6
50,5
51,5
52,6
53,4
54,5
55,6
56,6
57,5
58,5
59,6
60,5
61,6
62,5
63,4
64,6
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,6
74,6
75,5
76,6
77,7
78,6
79,7
80,7
81,6
82,5
83,5
84,6
85,6
86,5
87,5
88,6
89,7
90,6
91,6
92,6
93,6
94,6
95,7
96,6
97,6
98,6
99,6
100,5
101,5
102,5
103,5
104,6
105,6
106,6
107,6
108,5
109,6
110,7
111,6
112,6
113,5
114,5
115,7
116,6
117,7
118,6
119,5
120,7
121,5
122,6
123,7
124,6
125,5
126,5
127,6
128,6
129,7
130,6
131,5
132,6
133,5
134,5
135,6
136,6
137,7
138,5
139,5
140,5
141,6
142,6
143,5
144,5
145,5
146,7
147,6
148,7
149,6
150,6
151,7
152,6
153,5
154,6
155,5
156,6
157,5
158,7
159,5
160,6
161,6
162,6
163,6
164,6
165,5
166,5
167,6
168,5
169,6
170,5
171,5
172,6
173,5
174,6
175,5
176,6
177,5
178,6
179,6
180,6
181,5
182,7
183,7
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,6
192,5
193,6
194,6
195,5
196,6
197,6
198,5
199,5
200,6
201,6
202,6
203,5
204,6
205,6
206,6
207,6
208,6
209,6
210,7
211,5
212,5
213,6
214,6
215,6
216,6
217,5
218,6
219,6
220,5
221,6
222,6
223,6
224,7
225,5
226,6
227,5
228,6
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,5
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,7
245,6
246,6
247,7
248,6
249,6
250,5
251,6
252,7
253,7
254,6
255,6
256,6
257,6
258,7
259,6
260,7
261,5
262,6
263,7
264,6
265,5
266,6
267,5
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,7
277,7
278,6
279,6
280,6
281,5
282,6
283,5
284,7
285,6
286,6
287,6
288,5
289,6
290,5
291,5
292,5
293,6
294,5
295,7
296,8
297,5
298,5
299,7
300,6
301,6
302,5
303,5
304,6
305,7
306,5
307,7
308,5
309,5
310,6
311,5
312,6
313,5
314,6
315,6
316,6
317,5
318,5
319,6
320,5
321,6
322,6
323,5
324,5
325,6
326,5
327,6
328,6
329,6
330,6
331,6
332,6
333,5
334,5
335,6
336,5
337,6
338,6
339,5
340,6
341,6
342,7
343,6
344,5
345,6
346,5
347,6
348,5
349,6
350,5
351,6
352,5
353,6
354,6
355,5
356,6
357,6
358,6
359,6
360,5
361,6
362,6
363,7
364,6
365,6
366,5
367,5
368,7
369,6
370,6
371,5
372,4
373,5
374,5
