iter	RMSE
0	3.845432546
1	3.843881775
2	3.842340117
3	3.840798855
4	3.839264927
5	3.837741892
6	3.836220458
7	3.834704591
8	3.83319193
9	3.831690288
10	3.830195499
11	3.828701101
12	3.827211913
13	3.825722499
14	3.824240218
15	3.822765591
16	3.821290929
17	3.819826259
18	3.818362429
19	3.816908111
20	3.815462224
21	3.814021937
22	3.812578535
23	3.811142058
24	3.809708777
25	3.808281054
26	3.806861276
27	3.805446475
28	3.804038231
29	3.802633911
30	3.801237305
31	3.799845042
32	3.798455593
33	3.797075708
34	3.795694787
35	3.794318579
36	3.792956905
37	3.791590816
38	3.790229821
39	3.788882317
40	3.787536331
41	3.786194669
42	3.784854222
43	3.78352002
44	3.782185771
45	3.78086069
46	3.77954482
47	3.778224644
48	3.776917894
49	3.775613542
50	3.774313441
51	3.773015909
52	3.771723993
53	3.770434285
54	3.769150343
55	3.767868586
56	3.766593124
57	3.765321558
58	3.764059738
59	3.76280014
60	3.761542754
61	3.760288501
62	3.759046271
63	3.757801201
64	3.756562547
65	3.755329795
66	3.754107264
67	3.752883639
68	3.751667789
69	3.750452692
70	3.749238607
71	3.748030167
72	3.746825476
73	3.745624462
74	3.744427178
75	3.743239019
76	3.742054706
77	3.740876046
78	3.73970046
79	3.738525435
80	3.737357293
81	3.736197641
82	3.735036151
83	3.733880925
84	3.732730231
85	3.731582821
86	3.730439216
87	3.729300573
88	3.728172439
89	3.727037707
90	3.725911836
91	3.724791564
92	3.723675671
93	3.722558834
94	3.721447224
95	3.720341406
96	3.719241329
97	3.718141497
98	3.717043497
99	3.715955854
100	3.714870466
101	3.713787695
102	3.712712976
103	3.711643873
104	3.710577096
105	3.70951426
106	3.708453054
107	3.707394895
108	3.706342589
109	3.705292354
110	3.704243059
111	3.703199534
112	3.702159519
113	3.701124073
114	3.700086864
115	3.699062357
116	3.698034219
117	3.697011861
118	3.695995709
119	3.694975056
120	3.693970502
121	3.692964301
122	3.691965034
123	3.690969296
124	3.689970711
125	3.688978373
126	3.687988362
127	3.687003337
128	3.686024797
129	3.685047679
130	3.684074768
131	3.683101811
132	3.682134219
133	3.681170755
134	3.680213209
135	3.679255679
136	3.678299505
137	3.677347915
138	3.676407786
139	3.675467135
140	3.674524009
141	3.673590244
142	3.672654936
143	3.671726541
144	3.670800235
145	3.669885861
146	3.668970357
147	3.668057803
148	3.667147184
149	3.666227552
150	3.665315372
151	3.664403731
152	3.663494417
153	3.662592311
154	3.661696541
155	3.660797346
156	3.659902371
157	3.659013672
158	3.658118057
159	3.657236528
160	3.656354812
161	3.655476618
162	3.654593359
163	3.653724877
164	3.652853765
165	3.651985868
166	3.651121534
167	3.65025867
168	3.649403873
169	3.648544043
170	3.647694524
171	3.646846276
172	3.645994747
173	3.645162453
174	3.644317161
175	3.643486048
176	3.642654449
177	3.641827927
178	3.641001045
179	3.640171606
180	3.639357014
181	3.638545193
182	3.63773163
183	3.636923364
184	3.636110802
185	3.635307316
186	3.634508785
187	3.633711663
188	3.632920532
189	3.632121894
190	3.631330613
191	3.630545898
192	3.629756889
193	3.628969677
194	3.628178796
195	3.627394084
196	3.626623413
197	3.625846805
198	3.625081381
199	3.624317881
200	3.623546913
201	3.622784793
202	3.622029996
203	3.621277049
204	3.620521997
205	3.619773442
206	3.619024297
207	3.618278021
208	3.617537866
209	3.616798711
210	3.616055258
211	3.615321408
212	3.614585906
213	3.613848134
214	3.613115826
215	3.61239325
216	3.611671243
217	3.61094896
218	3.610231529
219	3.609519483
220	3.608812775
221	3.608099107
222	3.607398871
223	3.606693918
224	3.605993689
225	3.605299102
226	3.604600102
227	3.603908267
228	3.603217788
229	3.602532149
230	3.601848609
231	3.601161114
232	3.600478192
233	3.599799174
234	3.599130014
235	3.598456273
236	3.597787417
237	3.597119409
238	3.596451262
239	3.595793067
240	3.595131485
241	3.594472523
242	3.593819162
243	3.593163827
244	3.592513706
245	3.591861808
246	3.591219153
247	3.590578677
248	3.589932778
249	3.589297965
250	3.588659674
251	3.588030126
252	3.58740296
253	3.586767424
254	3.586139368
255	3.585515532
256	3.584888061
257	3.584267906
258	3.583647417
259	3.58303105
260	3.582417543
261	3.581808558
262	3.581192888
263	3.580590592
264	3.579986166
265	3.579381294
266	3.578782449
267	3.578180047
268	3.577583367
269	3.576986814
270	3.576391652
271	3.575800294
272	3.575212847
273	3.574630231
274	3.574049136
275	3.573464963
276	3.572881861
277	3.572306559
278	3.571736623
279	3.571169067
280	3.570597981
281	3.570037606
282	3.569474836
283	3.568909461
284	3.568345793
285	3.567790892
286	3.567232693
287	3.566674396
288	3.56611614
289	3.565570099
290	3.565021837
291	3.564469876
292	3.563918277
293	3.563374321
294	3.562838495
295	3.562302382
296	3.561764346
297	3.56122699
298	3.560698045
299	3.560170009
300	3.559635439
301	3.559105005
302	3.558575519
303	3.558050359
304	3.557529156
305	3.557002187
306	3.556483706
307	3.55597061
308	3.555460761
309	3.554945419
310	3.55443957
311	3.55393537
312	3.553432173
313	3.552921532
314	3.552415299
315	3.55191373
316	3.55141543
317	3.550912141
318	3.550414595
319	3.549919777
320	3.54942926
321	3.548937347
322	3.548450806
323	3.547960101
324	3.547475546
325	3.546994187
326	3.546517537
327	3.546036276
328	3.545559024
329	3.545081619
330	3.544603481
331	3.544125396
332	3.543654597
333	3.543184574
334	3.542721903
335	3.542262104
336	3.541793424
337	3.541327192
338	3.540864689
339	3.54041103
340	3.539955188
341	3.539497942
342	3.539045458
343	3.538588735
344	3.538136086
345	3.537691855
346	3.537249733
347	3.536805003
348	3.536361855
349	3.535916245
350	3.535477171
351	3.535040922
352	3.534603823
353	3.534164761
354	3.533730611
355	3.533304486
356	3.532871379
357	3.532439643
358	3.532013542
359	3.53158883
360	3.531160653
361	3.530730303
362	3.530310959
363	3.529890754
364	3.529473153
365	3.52905662
366	3.528643322
367	3.528232716
368	3.527823673
369	3.527413462
370	3.527005191
371	3.526593956
372	3.526183487
373	3.525778548
374	3.525380772
375	3.524974614
376	3.52457946
377	3.524182072
378	3.52378847
379	3.523390657
380	3.522997589
381	3.522611935
382	3.522218593
383	3.521824952
384	3.521436328
385	3.521048624
386	3.520657805
387	3.520277312
388	3.519892728
389	3.519515053
390	3.519134303
391	3.518756255
392	3.518379294
393	3.518001586
394	3.51763035
395	3.517254861
396	3.516880951
397	3.51651276
398	3.516142222
399	3.515772261
400	3.515408675
401	3.515044806
402	3.51468276
403	3.51431848
404	3.5139578
405	3.513591886
406	3.513226991
407	3.512868799
408	3.512511047
409	3.512154005
410	3.511798785
411	3.511450832
412	3.511101098
413	3.51075101
414	3.510395781
415	3.510050072
416	3.509701757
417	3.509359761
418	3.509014568
419	3.508672543
420	3.508337181
421	3.507995443
422	3.507656254
423	3.507315422
424	3.506979529
425	3.506647341
426	3.506313469
427	3.505983362
428	3.50565092
429	3.505324275
430	3.504997328
431	3.504669514
432	3.50434405
433	3.504023006
434	3.503695514
435	3.503375797
436	3.503051401
437	3.502727995
438	3.502412443
439	3.502095678
440	3.501775638
441	3.501458622
442	3.501144694
443	3.500828488
444	3.500521263
445	3.500211813
446	3.499898258
447	3.499585062
448	3.499276616
449	3.498968855
450	3.498662508
451	3.498364632
452	3.498061663
453	3.497757015
454	3.497452838
455	3.497153319
456	3.496854108
457	3.496556685
458	3.496261501
459	3.495966571
460	3.495671412
461	3.495378137
462	3.495088025
463	3.494799121
464	3.494507717
465	3.494220958
466	3.493931455
467	3.493642263
468	3.493356134
469	3.493072525
470	3.492789775
471	3.492507244
472	3.492224345
473	3.491941751
474	3.491661071
475	3.491385547
476	3.491110756
477	3.490836404
478	3.490561393
479	3.490288905
480	3.490014499
481	3.489744538
482	3.489480427
483	3.48920671
484	3.488934425
485	3.488669884
486	3.488400745
487	3.488137421
488	3.487874391
489	3.487606313
490	3.487345327
491	3.487081849
492	3.486822154
493	3.486563028
494	3.486302898
495	3.486043717
496	3.485782769
497	3.485529573
498	3.48527533
499	3.485017364
500	3.484766857
501	3.48451736
502	3.484266114
503	3.484017673
504	3.483774204
505	3.483527419
506	3.483278579
507	3.483029322
508	3.482781499
509	3.482538399
510	3.482295976
511	3.482048715
512	3.481806405
513	3.481568776
514	3.4813245
515	3.481083603
516	3.480845455
517	3.480605246
518	3.480367715
519	3.480129619
520	3.47989177
521	3.479655039
522	3.479418081
523	3.479185987
524	3.478953334
525	3.478722095
526	3.478494487
527	3.478263242
528	3.478035549
529	3.477805514
530	3.477580295
531	3.477355357
532	3.477127783
533	3.476901309
534	3.476679679
535	3.476458638
536	3.476211235
537	3.475966104
538	3.475716969
539	3.475476558
540	3.475229357
541	3.47498564
542	3.474745072
543	3.47450236
544	3.474259998
545	3.474020096
546	3.473780635
547	3.473542808
548	3.473305598
549	3.473069416
550	3.472832119
551	3.472596023
552	3.472363616
553	3.472125686
554	3.471892978
555	3.471659132
556	3.471427817
557	3.47119474
558	3.470963539
559	3.470733266
560	3.470506677
561	3.470281434
562	3.470055734
563	3.469829302
564	3.469604441
565	3.469379491
566	3.469154677
567	3.468930311
568	3.468708664
569	3.468491519
570	3.468269528
571	3.468049091
572	3.467830651
573	3.467612863
574	3.467395629
575	3.467181061
576	3.466970858
577	3.466758882
578	3.466545166
579	3.466334528
580	3.4661232
581	3.465912614
582	3.465701623
583	3.465490315
584	3.46528302
585	3.465078045
586	3.464871553
587	3.464662256
588	3.464457926
589	3.464255428
590	3.464054283
591	3.463850677
592	3.463646999
593	3.463442468
594	3.463241769
595	3.463041361
596	3.462840413
597	3.462641881
598	3.462443869
599	3.462243223
600	3.462043865
601	3.461848036
602	3.461651195
603	3.461455459
604	3.461260083
605	3.46106717
606	3.460871929
607	3.460681538
608	3.460490124
609	3.460299481
610	3.46011077
611	3.459922377
612	3.459733448
613	3.459542884
614	3.459355043
615	3.459168009
616	3.458981625
617	3.458797668
618	3.458612821
619	3.458428967
620	3.458243098
621	3.45806058
622	3.457879903
623	3.457699321
624	3.457520131
625	3.457338478
626	3.45715763
627	3.4569812
628	3.456804244
629	3.45662702
630	3.456449785
631	3.456272308
632	3.456098249
633	3.455798499
634	3.455506003
635	3.455211597
636	3.45491823
637	3.454629611
638	3.454334033
639	3.454041816
640	3.453758913
641	3.453478874
642	3.453191709
643	3.452905571
644	3.452618771
645	3.452335295
646	3.452045815
647	3.451772599
648	3.451488996
649	3.451211444
650	3.450931218
651	3.450651994
652	3.450384566
653	3.450106978
654	3.449831878
655	3.449554582
656	3.449278532
657	3.449005157
658	3.448739432
659	3.448464452
660	3.448193281
661	3.447923965
662	3.447657505
663	3.447391819
664	3.447127766
665	3.446859866
666	3.44659442
667	3.44632773
668	3.446071033
669	3.445813844
670	3.445550952
671	3.445287681
672	3.445028465
673	3.444773556
674	3.444518373
675	3.444267221
676	3.444016188
677	3.443767609
678	3.443511667
679	3.4432648
680	3.443018344
681	3.442769617
682	3.442522747
683	3.442275877
684	3.44202587
685	3.441777365
686	3.441527579
687	3.441279762
688	3.44104111
689	3.440796916
690	3.440553981
691	3.440321021
692	3.440083353
693	3.439841905
694	3.43960064
695	3.4393674
696	3.43913073
697	3.438895535
698	3.438658834
699	3.438422279
700	3.438188758
701	3.437953151
702	3.437723162
703	3.437494939
704	3.437266076
705	3.437035678
706	3.436806538
707	3.436577335
708	3.436349464
709	3.436124662
710	3.435896338
711	3.435672954
712	3.43544828
713	3.435227196
714	3.43501112
715	3.434791553
716	3.434572723
717	3.434361198
718	3.434141812
719	3.433921487
720	3.433707299
721	3.433500235
722	3.433285541
723	3.433079289
724	3.432862697
725	3.432650534
726	3.432435409
727	3.432222304
728	3.432012403
729	3.431800752
730	3.431594459
731	3.431383207
732	3.431184401
733	3.430972989
734	3.430767134
735	3.430559378
736	3.430350774
737	3.430147482
738	3.429942056
739	3.429744083
740	3.429541687
741	3.429339572
742	3.429142862
743	3.42894097
744	3.428739995
745	3.428540048
746	3.42834593
747	3.428148027
748	3.427958689
749	3.427764006
750	3.427571179
751	3.427374586
752	3.427183085
753	3.426989883
754	3.426798044
755	3.426608462
756	3.426414029
757	3.426230477
758	3.42604035
759	3.425848969
760	3.42566347
761	3.425479291
