iter	MultiClass
0	1.098612006
1	1.098611724
2	1.098611442
3	1.098611154
4	1.098610872
5	1.098610588
6	1.098610307
7	1.098610024
8	1.098609743
9	1.098609461
10	1.098609178
11	1.09860889
12	1.098608607
13	1.098608324
14	1.098608042
15	1.09860776
16	1.098607478
17	1.098607191
18	1.098606909
19	1.098606626
20	1.098606346
21	1.098606064
22	1.098605782
23	1.098605499
24	1.098605212
25	1.09860493
26	1.098604645
27	1.098604362
28	1.098604081
29	1.098603798
30	1.098603515
31	1.098603233
32	1.098602951
33	1.098602668
34	1.098602381
35	1.098602099
36	1.098601817
37	1.098601534
38	1.098601251
39	1.098600969
40	1.098600686
41	1.098600399
42	1.098600116
43	1.098599833
44	1.09859955
45	1.098599268
46	1.098598985
47	1.098598703
48	1.098598419
49	1.098598133
50	1.09859785
51	1.098597567
52	1.098597285
53	1.098597003
54	1.098596724
55	1.09859644
56	1.098596157
57	1.098595876
58	1.098595592
59	1.098595309
60	1.098595027
61	1.098594741
62	1.09859446
63	1.098594177
64	1.098593895
65	1.098593612
66	1.09859333
67	1.098593044
68	1.098592762
69	1.098592479
70	1.098592193
71	1.09859191
72	1.098591629
73	1.098591345
74	1.098591059
75	1.098590776
76	1.098590488
77	1.098590202
78	1.09858992
79	1.098589638
80	1.098589355
81	1.098589068
82	1.098588785
83	1.098588503
84	1.098588219
85	1.098587937
86	1.098587655
87	1.098587372
88	1.09858709
89	1.098586808
90	1.098586527
91	1.098586244
92	1.098585961
93	1.098585679
94	1.098585398
95	1.098585116
96	1.098584833
97	1.098584548
98	1.098584261
99	1.098583979
100	1.098583696
101	1.098583413
102	1.09858313
103	1.098582848
104	1.098582566
105	1.098582284
106	1.098582002
107	1.098581717
108	1.098581434
109	1.098581153
110	1.098580869
111	1.098580587
112	1.098580303
113	1.098580022
114	1.098579739
115	1.098579457
116	1.098579173
117	1.09857889
118	1.098578605
119	1.09857832
120	1.098578037
121	1.098577754
122	1.098577472
123	1.098577189
124	1.098576907
125	1.098576625
126	1.098576337
127	1.098576055
128	1.098575772
129	1.098575491
130	1.098575208
131	1.098574925
132	1.098574642
133	1.098574359
134	1.098574077
135	1.098573789
136	1.098573507
137	1.098573224
138	1.098572942
139	1.098572658
140	1.098572377
141	1.098572094
142	1.098571811
143	1.098571528
144	1.098571245
145	1.098570957
146	1.098570675
147	1.098570392
148	1.098570109
149	1.098569828
150	1.098569545
151	1.098569264
152	1.098568981
153	1.098568699
154	1.098568416
155	1.098568133
156	1.09856785
157	1.098567567
158	1.098567283
159	1.098567005
160	1.098566722
161	1.098566439
162	1.098566158
163	1.098565876
164	1.098565593
165	1.098565306
166	1.098565023
167	1.098564739
168	1.098564458
169	1.098564175
170	1.098563894
171	1.098563611
172	1.098563329
173	1.098563047
174	1.098562763
175	1.098562479
176	1.0985622
177	1.098561917
178	1.098561634
179	1.098561353
180	1.098561071
181	1.098560788
182	1.098560506
183	1.098560224
184	1.098559941
185	1.09855966
186	1.098559378
187	1.098559096
188	1.098558813
189	1.09855853
190	1.098558249
191	1.098557966
192	1.098557683
193	1.098557402
194	1.098557119
195	1.098556836
196	1.098556554
197	1.098556272
198	1.098555989
199	1.098555702
200	1.098555419
201	1.098555138
202	1.098554856
203	1.098554573
204	1.098554291
205	1.098554004
206	1.098553722
207	1.098553438
208	1.098553158
209	1.098552876
210	1.098552594
211	1.098552312
212	1.098552029
213	1.09855175
214	1.098551467
215	1.098551181
216	1.098550899
217	1.098550616
218	1.098550333
219	1.098550046
220	1.098549763
221	1.098549482
222	1.098549199
223	1.098548915
224	1.098548628
225	1.098548342
226	1.098548055
227	1.098547773
228	1.09854749
229	1.098547207
230	1.098546921
231	1.098546638
232	1.098546353
233	1.09854607
234	1.098545788
235	1.098545506
236	1.098545223
237	1.09854494
238	1.098544653
239	1.09854437
240	1.098544089
241	1.098543806
242	1.098543524
243	1.09854324
244	1.098542958
245	1.098542675
246	1.098542392
247	1.098542109
248	1.098541825
249	1.098541544
250	1.098541262
251	1.09854098
252	1.098540698
253	1.098540412
254	1.098540129
255	1.098539847
256	1.098539564
257	1.098539282
258	1.098538999
259	1.098538718
260	1.098538436
261	1.098538154
262	1.098537871
263	1.098537588
264	1.098537306
265	1.098537024
266	1.098536741
267	1.098536459
268	1.098536176
269	1.098535895
270	1.09853561
271	1.098535327
272	1.098535044
273	1.098534763
274	1.098534476
275	1.098534195
276	1.098533913
277	1.09853363
278	1.098533349
279	1.098533066
280	1.098532785
281	1.098532502
282	1.09853222
283	1.098531938
284	1.098531655
285	1.098531369
286	1.098531085
287	1.098530803
288	1.098530521
289	1.098530239
290	1.098529952
291	1.098529669
292	1.098529389
293	1.098529106
294	1.09852882
295	1.098528536
296	1.098528254
297	1.098527971
298	1.098527689
299	1.098527405
300	1.098527122
301	1.09852684
302	1.098526554
303	1.098526272
304	1.098525986
305	1.098525702
306	1.098525419
307	1.098525137
308	1.098524854
309	1.098524572
310	1.098524288
311	1.098524007
312	1.098523725
313	1.098523442
314	1.098523157
315	1.098522876
316	1.098522593
317	1.09852231
318	1.098522027
319	1.098521744
320	1.098521462
321	1.098521178
322	1.098520895
323	1.098520608
324	1.098520326
325	1.098520043
326	1.09851976
327	1.098519478
328	1.098519195
329	1.098518912
330	1.098518629
331	1.098518347
332	1.098518065
333	1.098517783
334	1.0985175
335	1.098517217
336	1.098516934
337	1.098516652
338	1.098516369
339	1.098516087
340	1.0985158
341	1.098515519
342	1.098515238
343	1.098514956
344	1.098514673
345	1.098514391
346	1.098514109
347	1.098513827
348	1.098513545
349	1.098513262
350	1.098512979
351	1.098512693
352	1.098512408
353	1.098512122
354	1.09851184
355	1.098511557
356	1.098511274
357	1.098510991
358	1.098510708
359	1.098510425
360	1.098510144
361	1.098509864
362	1.098509581
363	1.098509299
364	1.098509018
365	1.098508734
366	1.098508452
367	1.098508165
368	1.098507882
369	1.098507601
370	1.098507318
371	1.098507034
372	1.098506752
373	1.098506469
374	1.098506188
375	1.098505905
376	1.098505623
377	1.098505343
378	1.098505061
379	1.098504777
380	1.098504495
381	1.098504212
382	1.09850393
383	1.098503648
384	1.098503366
385	1.098503085
386	1.098502802
387	1.098502516
388	1.098502234
389	1.09850195
390	1.098501668
391	1.098501382
392	1.098501101
393	1.098500819
394	1.098500537
395	1.098500254
396	1.098499973
397	1.098499692
398	1.098499409
399	1.098499126
400	1.098498844
401	1.098498561
402	1.098498281
403	1.098497998
404	1.098497715
405	1.09849743
406	1.098497148
407	1.098496866
408	1.098496583
409	1.0984963
410	1.098496018
411	1.098495735
412	1.098495453
413	1.098495165
414	1.098494882
415	1.098494597
416	1.098494314
417	1.098494031
418	1.098493749
419	1.098493466
420	1.098493179
421	1.098492899
422	1.098492617
423	1.098492334
424	1.098492051
425	1.098491769
426	1.098491483
427	1.098491201
428	1.098490918
429	1.098490635
430	1.098490348
431	1.098490061
432	1.098489774
433	1.098489491
434	1.098489208
435	1.098488926
436	1.098488644
437	1.098488362
438	1.09848808
439	1.098487798
440	1.098487511
441	1.098487225
442	1.098486942
443	1.098486654
444	1.098486372
445	1.098486089
446	1.098485806
447	1.098485523
448	1.098485241
449	1.098484959
450	1.098484676
451	1.098484394
452	1.098484112
453	1.098483831
454	1.098483543
455	1.098483262
456	1.098482982
457	1.0984827
458	1.098482418
459	1.098482135
460	1.098481852
461	1.09848157
462	1.098481289
463	1.098481006
464	1.098480724
465	1.098480443
466	1.098480155
467	1.098479873
468	1.098479591
469	1.098479306
470	1.098479024
471	1.09847874
472	1.098478459
473	1.098478176
474	1.098477893
475	1.098477611
476	1.098477329
477	1.098477048
478	1.098476766
479	1.098476479
480	1.098476196
481	1.098475914
482	1.098475631
483	1.098475349
484	1.098475066
485	1.098474783
486	1.0984745
487	1.098474217
488	1.098473935
489	1.098473652
490	1.098473366
491	1.098473079
492	1.098472796
493	1.098472513
494	1.098472226
495	1.098471944
496	1.098471661
497	1.098471379
498	1.098471096
499	1.098470816
500	1.098470534
501	1.098470252
502	1.098469969
503	1.098469688
504	1.098469406
505	1.098469124
506	1.098468841
507	1.09846856
508	1.098468279
509	1.098467997
510	1.098467715
511	1.098467433
512	1.09846715
513	1.098466868
514	1.098466585
515	1.098466303
516	1.098466016
517	1.098465734
518	1.098465451
519	1.098465169
520	1.098464886
521	1.098464603
522	1.098464321
523	1.098464035
524	1.098463754
525	1.098463468
526	1.098463187
527	1.098462899
528	1.098462617
529	1.098462335
