iter	Passed	Remaining
0	951	19035013
1	1818	18180299
2	2651	17674132
3	3516	17577591
4	4358	17429488
5	5202	17336211
6	6072	17345069
7	7114	17779826
8	8031	17840385
9	8892	17775805
10	9721	17665053
11	10537	17551137
12	11373	17485994
13	12230	17459272
14	13079	17425802
15	13932	17401906
16	14780	17373794
17	15671	17397185
18	16527	17381031
19	17423	17406303
20	18296	17406815
21	19205	17440713
22	20145	17497542
23	21084	17549352
24	22055	17622505
25	22987	17659967
26	23875	17661468
27	24806	17694460
28	25740	17726060
29	26657	17745278
30	27569	17759295
31	28467	17763511
32	29381	17777644
33	30245	17761401
34	31132	17758883
35	32035	17765187
36	32895	17748264
37	33794	17752874
38	34667	17743520
39	35607	17767950
40	36458	17748115
41	37356	17751239
42	38254	17754476
43	39214	17785374
44	40074	17770649
45	40874	17730745
46	41652	17682918
47	42488	17661127
48	43294	17627743
49	44149	17615572
50	45015	17607944
51	45986	17641128
52	46953	17671172
53	47827	17666224
54	48656	17644727
55	49464	17616430
56	50292	17596031
57	51099	17569416
58	51931	17551888
59	52813	17551813
60	53645	17535114
61	54513	17530552
62	55349	17515822
63	56204	17507568
64	57016	17486660
65	57805	17459146
66	58627	17442194
67	59454	17427031
68	60282	17412769
69	61083	17391235
70	61892	17372731
71	62732	17362936
72	63579	17355535
73	64386	17337297
74	65222	17327311
75	66001	17302883
76	66829	17291494
77	67656	17280225
78	68476	17267468
79	69293	17254040
80	70237	17272313
81	71185	17291221
82	71974	17271287
83	72762	17251725
84	73587	17241165
85	74390	17225818
86	75209	17214422
87	76002	17197362
88	76826	17187513
89	77644	17176670
90	78519	17178420
91	79374	17175956
92	80279	17184217
93	81126	17179837
94	82055	17192713
95	82931	17194412
96	83822	17199134
97	84681	17197282
98	85548	17197025
99	86426	17198832
100	87317	17203195
101	88193	17204669
102	89087	17209476
103	89957	17209655
104	90836	17211282
105	91666	17203968
106	92537	17204259
107	93448	17211769
108	94380	17223134
109	95317	17235203
110	96279	17251429
111	97223	17264097
112	98220	17285851
113	99217	17307363
114	100283	17340248
115	101112	17332085
116	102258	17377879
117	103240	17395169
118	104220	17411776
119	105164	17422199
120	106195	17446734
121	107096	17449670
122	107997	17452575
123	108878	17452162
124	109770	17453575
125	110690	17459293
126	111570	17458545
127	112485	17463348
128	113335	17457993
129	114180	17452087
130	115093	17456373
131	115957	17453398
132	116789	17445530
133	118017	17496536
134	119072	17521282
135	120054	17535036
136	120934	17533763
137	121830	17534778
138	122656	17525694
139	123505	17520114
140	124318	17509580
141	125145	17500912
142	126003	17496890
143	126820	17487072
144	127664	17481173
145	128554	17481664
146	129393	17475189
147	130245	17470468
148	131085	17464278
149	131927	17458411
150	132775	17453400
151	133588	17443842
152	134530	17451150
153	135367	17444776
154	136279	17448160
155	137227	17455994
156	138158	17461706
157	139003	17456373
158	139985	17468243
159	140850	17465420
160	141773	17469880
161	142682	17472425
162	143572	17472664
163	144431	17469179
164	145341	17471792
165	146260	17475528
166	147257	17488389
167	148225	17497658
168	149092	17495021
169	149907	17486318
170	150843	17491621
171	151695	17487360
172	152644	17494146
173	153523	17492810
174	154452	17497315
175	155359	17499126
176	156299	17504642
177	157191	17504768
178	158061	17502397
179	158922	17499187
180	159778	17495293
181	160624	17490447
182	161502	17488990
183	162356	17485041
184	163177	17477608
185	163996	17470071
186	164809	17461907
187	165649	17456679
188	166531	17455819
189	167409	17454653
190	168261	17450719
191	169187	17454536
192	170069	17453756
193	170991	17457041
194	171927	17461675
195	172829	17462844
196	173771	17468020
197	174663	17468123
198	175531	17465782
199	176429	17466527
200	177339	17468405
201	178233	17468629
202	179130	17469160
203	179983	17465463
204	180887	17466667
205	181725	17461566
206	182548	17455032
207	183459	17456923
208	184319	17453863
209	185262	17458751
210	186159	17459268
211	187015	17455983
212	187903	17455653
213	188802	17456325
214	189746	17461052
