,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
72,2,1102,0.047609567642211914,0.0014749766349946604,0.018560218811035156,0.005689933891256207,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9818181818181818,0.9772727272727273,0.9954545454545455,0.9954545454545455,0.9818181818181818,0.9863636363636363,0.007606000241218878,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,2,1102,0.0458014965057373,0.008291693607650068,0.017351722717285155,0.0028222232366787083,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9818181818181818,0.9772727272727273,0.9954545454545455,0.9954545454545455,0.9818181818181818,0.9863636363636363,0.007606000241218878,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69,2,1102,0.024384737014770508,0.0019586031740127774,0.012600898742675781,0.0022380685834263478,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9772727272727273,0.9636363636363636,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9790909090909091,0.008907235428302483,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,2,1102,0.02187376022338867,0.007654110416522687,0.012498235702514649,0.006249117866493511,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9727272727272728,0.9636363636363636,0.9818181818181818,0.990909090909091,0.9772727272727273,0.9772727272727273,0.009090909090909106,4,0.9988649262202043,0.996594778660613,0.9977298524404086,0.9977298524404086,0.996594778660613,0.9975028376844495,0.0008494114385411631
67,1,332,0.01128559112548828,0.009767464118360535,0.0007991790771484375,0.0009787905805963043,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9393939393939394,0.9545454545454546,0.9696969696969697,0.9848484848484849,0.9848484848484849,0.9666666666666668,0.017669551196500894,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,1,332,0.012498855590820312,0.006249427835431587,0.003124570846557617,0.006249141693115233,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9393939393939394,0.9545454545454546,0.9696969696969697,0.9848484848484849,0.9848484848484849,0.9666666666666668,0.017669551196500894,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,2,1102,0.020787525177001952,0.0011658610049298105,0.005596542358398437,0.0004903881199441646,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9681818181818181,0.9363636363636364,0.9727272727272728,0.9727272727272728,0.9636363636363636,0.9627272727272727,0.013606026860996148,7,0.9988649262202043,0.9988649262202043,0.996594778660613,0.996594778660613,0.9988649262202043,0.9979568671963677,0.0011121406323646393
65,1,332,0.0031246662139892576,0.006249332427978514,0.0031246662139892576,0.006249332427978514,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9393939393939394,0.9545454545454546,0.9393939393939394,0.9848484848484849,0.9848484848484849,0.9606060606060606,0.02055251510037958,8,1.0,0.9962264150943396,0.9962264150943396,1.0,0.9924528301886792,0.9969811320754717,0.002823892367376559
64,1,332,0.0031250476837158202,0.006250095367431641,0.0031249523162841797,0.006249904632568359,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9393939393939394,0.9545454545454546,0.9242424242424242,1.0,0.9696969696969697,0.9575757575757576,0.0260676523243716,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,1,332,0.004596900939941406,0.0004890645020338566,0.0009991645812988282,8.714517060516867e-07,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,1,332,0.004797124862670898,0.0007483665418616079,0.0013993263244628906,0.0004900385296653068,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,332,0.005396986007690429,0.0008000612738490761,0.000999307632446289,8.996945507103542e-07,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,1,332,0.00539708137512207,0.0013550742555606787,0.0009993553161621095,1.0403358568797793e-06,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56,1,332,0.004796266555786133,0.000748583160157506,0.0012000083923339843,0.0003996851051146208,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,1,332,0.006249713897705078,0.0076543050438790325,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,1,332,0.009127998352050781,0.00746664181865564,0.0022782802581787108,0.004075260345535252,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,0.9962264150943396,0.9992452830188678,0.0015094339622641507
61,1,332,0.005396604537963867,0.0004894937700523456,0.0009991645812988282,7.136645101116069e-07,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,1,332,0.005196714401245117,0.00039999497450525176,0.0013995170593261719,0.0004895900298295808,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,1,332,0.003733921051025391,0.0060614422870544585,0.0,0.0,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,0.9962264150943396,0.9992452830188678,0.0015094339622641507
58,1,332,0.0008156776428222656,0.0011821019777169873,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,1,332,0.004196929931640625,0.0003996854748877716,0.0009997367858886718,6.641573084442196e-07,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9393939393939394,0.9393939393939394,0.9242424242424242,1.0,0.9696969696969697,0.9545454545454547,0.027103854272724725,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0,100,0.0031249523162841797,0.006249904632568359,0.0,0.0,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.85,0.85,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.8557894736842104,0.019791153344171773,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0,100,0.0,0.0,0.0,0.0,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.85,0.85,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.8557894736842104,0.019791153344171773,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0,100,0.0,0.0,0.0,0.0,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.85,0.9,0.8947368421052632,0.7368421052631579,0.8421052631578947,0.8447368421052632,0.058702498920415534,24,1.0,1.0,1.0,0.9875,1.0,0.9974999999999999,0.004999999999999982
22,0,100,0.0,0.0,0.0,0.0,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.8,0.85,0.8947368421052632,0.7368421052631579,0.8421052631578947,0.8247368421052631,0.053249009978702064,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0,100,0.001798725128173828,0.0003992797189906971,0.0007994651794433593,0.0003997326323827615,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8242105263157894,0.07242151162645244,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8242105263157894,0.07242151162645244,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,0,100,0.0031251430511474608,0.0062502861022949215,0.0,0.0,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8242105263157894,0.07242151162645244,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0,100,0.00019979476928710938,0.00039958953857421875,0.00020794868469238282,0.00041589736938476565,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.85,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8242105263157894,0.07242151162645244,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,100,0.0041240215301513675,0.006066772069902762,0.006249666213989258,0.007654246643863953,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,100,0.0007991790771484375,0.000978790476061012,0.00020694732666015625,0.0004138946533203125,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0,100,0.006248950958251953,0.0076533706376966356,0.0,0.0,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.85,0.8,0.8947368421052632,0.7368421052631579,0.7894736842105263,0.8142105263157895,0.05397239470860746,30,1.0,1.0,0.9875,1.0,1.0,0.9974999999999999,0.004999999999999982
13,0,100,0.0031244754791259766,0.006248950958251953,0.0,0.0,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0,100,0.0,0.0,0.0,0.0,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,0,100,0.0,0.0,0.0031249523162841797,0.006249904632568359,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0,100,0.006249427795410156,0.007653954678693999,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0,100,0.0,0.0,0.0,0.0,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0,100,0.0031246662139892576,0.006249332427978514,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,100,0.0031248092651367187,0.006249618530273437,0.0,0.0,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,100,0.0,0.0,0.0,0.0,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.8,0.85,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.8142105263157895,0.0716176366028381,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
